class,series,f1,source_workbook,source_sheet,source_field
Built-up/Bare soil,Bentong fixed S2+R1 grouped benchmark (E2),0.9651741293532338,MASTER_RESULTS_LOCKED_v2.xlsx,E2_Class_Metrics,f1
Built-up/Bare soil,Independent Pahang evaluation (E3),0.8571428571428571,MASTER_RESULTS_LOCKED_v2.xlsx,E3_Class_Metrics,f1-score
Durian,Bentong fixed S2+R1 grouped benchmark (E2),0.8617886178861788,MASTER_RESULTS_LOCKED_v2.xlsx,E2_Class_Metrics,f1
Durian,Independent Pahang evaluation (E3),0.7168141592920354,MASTER_RESULTS_LOCKED_v2.xlsx,E3_Class_Metrics,f1-score
Forest,Bentong fixed S2+R1 grouped benchmark (E2),0.8176100628930817,MASTER_RESULTS_LOCKED_v2.xlsx,E2_Class_Metrics,f1
Forest,Independent Pahang evaluation (E3),0.6846846846846847,MASTER_RESULTS_LOCKED_v2.xlsx,E3_Class_Metrics,f1-score
Other agriculture,Bentong fixed S2+R1 grouped benchmark (E2),0.7272727272727273,MASTER_RESULTS_LOCKED_v2.xlsx,E2_Class_Metrics,f1
Other agriculture,Independent Pahang evaluation (E3),0.6341463414634146,MASTER_RESULTS_LOCKED_v2.xlsx,E3_Class_Metrics,f1-score
Oil palm,Bentong fixed S2+R1 grouped benchmark (E2),0.8255813953488371,MASTER_RESULTS_LOCKED_v2.xlsx,E2_Class_Metrics,f1
Oil palm,Independent Pahang evaluation (E3),0.7314285714285714,MASTER_RESULTS_LOCKED_v2.xlsx,E3_Class_Metrics,f1-score
Rubber,Bentong fixed S2+R1 grouped benchmark (E2),0.6923076923076924,MASTER_RESULTS_LOCKED_v2.xlsx,E2_Class_Metrics,f1
Rubber,Independent Pahang evaluation (E3),0.38144329896907214,MASTER_RESULTS_LOCKED_v2.xlsx,E3_Class_Metrics,f1-score
Water,Bentong fixed S2+R1 grouped benchmark (E2),0.930817610062893,MASTER_RESULTS_LOCKED_v2.xlsx,E2_Class_Metrics,f1
Water,Independent Pahang evaluation (E3),0.9206349206349206,MASTER_RESULTS_LOCKED_v2.xlsx,E3_Class_Metrics,f1-score
