model,outer_fold,selected_feature_set,selected_candidate,oa,balanced_accuracy,macro_f1,durian_f1,source_file
RF,0,S2,C2,0.875,0.8377062752062753,0.841290447120753,0.8679245283018868,03_RESULTS/E1/RF/RF_grouped_validation_20260623_153912_UTC/tables/nested_outer_fold_metrics.csv
RF,1,S2_DEM,C1,0.8728813559322034,0.8693121693121693,0.8616132167152576,0.8,03_RESULTS/E1/RF/RF_grouped_validation_20260623_153912_UTC/tables/nested_outer_fold_metrics.csv
RF,2,S2_DEM,C3,0.8020833333333334,0.7199537304800463,0.6895422868329273,0.75,03_RESULTS/E1/RF/RF_grouped_validation_20260623_153912_UTC/tables/nested_outer_fold_metrics.csv
RF,3,S2,C5,0.8,0.7865018734766634,0.7300324357915143,0.8085106382978723,03_RESULTS/E1/RF/RF_grouped_validation_20260623_153912_UTC/tables/nested_outer_fold_metrics.csv
RF,4,FULL,C5,0.7473684210526316,0.6494835991076593,0.6256021660983017,0.6470588235294118,03_RESULTS/E1/RF/RF_grouped_validation_20260623_153912_UTC/tables/nested_outer_fold_metrics.csv
XGBoost,0,S2,X2,0.8515625,0.819428256928257,0.8134365634365635,0.8461538461538461,03_RESULTS/E1/XGBoost/XGBoost_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
XGBoost,1,S2_S1,X2,0.8813559322033898,0.8899470899470899,0.8753995854106842,0.76,03_RESULTS/E1/XGBoost/XGBoost_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
XGBoost,2,S2_S1,X2,0.8645833333333334,0.8363230754208199,0.842190548072901,0.7843137254901961,03_RESULTS/E1/XGBoost/XGBoost_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
XGBoost,3,S2_S1,X0,0.8416666666666667,0.8488859180035649,0.8052699284842142,0.8444444444444444,03_RESULTS/E1/XGBoost/XGBoost_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
XGBoost,4,FULL,X1,0.7157894736842105,0.6169648021151781,0.5876154567398808,0.6451612903225806,03_RESULTS/E1/XGBoost/XGBoost_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
SVM,0,S2_S1,R1,0.875,0.8344433344433345,0.8381723640344331,0.8888888888888888,03_RESULTS/E1/SVM/SVM_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
SVM,1,FULL,R3,0.8728813559322034,0.8619047619047618,0.8538967428840358,0.7755102040816326,03_RESULTS/E1/SVM/SVM_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
SVM,2,FULL,R1,0.8854166666666666,0.864250035678607,0.8757781900639044,0.8,03_RESULTS/E1/SVM/SVM_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
SVM,3,FULL,L0,0.7666666666666667,0.8277583760777038,0.7441178724445362,0.7272727272727273,03_RESULTS/E1/SVM/SVM_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
SVM,4,FULL,R3,0.8631578947368421,0.8168305378831694,0.8335834479098236,0.8648648648648649,03_RESULTS/E1/SVM/SVM_grouped_validation_20260624_run01/tables/nested_outer_fold_metrics.csv
