experiment,metric,estimate,bootstrap_median,ci_2.5_percent,ci_97.5_percent
E1_RF,OA,0.8240574506283662,0.8245464598463792,0.7699602395846109,0.8726287940394293
E1_RF,balanced_accuracy,0.7739892169410242,0.7715987373552253,0.7148161038575958,0.8266003411512883
E1_RF,macro_F1,0.7740460695230118,0.7675692674331303,0.699378498859326,0.8329951028993084
E1_RF,weighted_F1,0.8183175250733011,0.8184528618818517,0.7607453211308186,0.8698010892527716
E1_RF,F1_Built-up/Bare soil,0.97,0.9710982658959537,0.9326393083060491,0.9940828402366864
E1_RF,F1_Durian,0.7848101265822786,0.7843137254901961,0.6598984771573604,0.8741331923890063
E1_RF,F1_Forest,0.7486631016042782,0.748898678414097,0.6137501217255819,0.8502471894893674
E1_RF,F1_Other agriculture,0.6976744186046512,0.694214876033058,0.41506180871828235,0.8450776825903875
E1_RF,F1_Oil palm,0.8410256410256411,0.8416065588459298,0.7419354838709677,0.9122911445279865
E1_RF,F1_Rubber,0.4255319148936171,0.41379310344827586,0.07999999999999999,0.7000000000000001
E1_RF,F1_Water,0.9506172839506173,0.9518716577540107,0.9024344397579315,0.9864864864864865
E1_XGBoost,OA,0.8348294434470377,0.8357532477799152,0.7808683740321619,0.8842530560611341
E1_XGBoost,balanced_accuracy,0.8077015019786103,0.80747330548175,0.7457335822291404,0.8664797376781674
E1_XGBoost,macro_F1,0.8054133729395642,0.8008350951110771,0.7360705695885786,0.8576772690523708
E1_XGBoost,weighted_F1,0.8375698256564463,0.8387583840233847,0.7847631318114379,0.8866028978474216
E1_XGBoost,F1_Built-up/Bare soil,0.9651741293532338,0.9657794676806084,0.9305555555555556,0.9885057471264368
E1_XGBoost,F1_Durian,0.7860262008733625,0.7867472818511291,0.6584336419753087,0.8813559322033898
E1_XGBoost,F1_Forest,0.7325581395348837,0.7327962609925589,0.5864596836919885,0.8449264985568209
E1_XGBoost,F1_Other agriculture,0.6458333333333333,0.6415094339622641,0.35553763440860214,0.8095238095238095
E1_XGBoost,F1_Oil palm,0.9025641025641025,0.9045226130653266,0.8133333333333334,0.9617507195595045
E1_XGBoost,F1_Rubber,0.6557377049180328,0.6575342465753424,0.41025641025641024,0.8421052631578947
E1_XGBoost,F1_Water,0.95,0.9516129032258064,0.9047619047619048,0.9850801141352062
E1_SVM,OA,0.8509874326750448,0.8513513513513513,0.797420521804028,0.8969279616468312
