experiment,metric,estimate
E1_RF,OA,0.8240574506283662
E1_RF,balanced_accuracy,0.7739892169410242
E1_RF,macro_F1,0.7740460695230118
E1_RF,weighted_F1,0.8183175250733011
E1_RF,F1_Built-up/Bare soil,0.97
E1_RF,F1_Durian,0.7848101265822786
E1_RF,F1_Forest,0.7486631016042782
E1_RF,F1_Other agriculture,0.6976744186046512
E1_RF,F1_Oil palm,0.8410256410256411
E1_RF,F1_Rubber,0.4255319148936171
E1_RF,F1_Water,0.9506172839506173
E1_XGBoost,OA,0.8348294434470377
E1_XGBoost,balanced_accuracy,0.8077015019786103
E1_XGBoost,macro_F1,0.8054133729395642
E1_XGBoost,weighted_F1,0.8375698256564463
E1_XGBoost,F1_Built-up/Bare soil,0.9651741293532338
E1_XGBoost,F1_Durian,0.7860262008733625
E1_XGBoost,F1_Forest,0.7325581395348837
E1_XGBoost,F1_Other agriculture,0.6458333333333333
E1_XGBoost,F1_Oil palm,0.9025641025641025
E1_XGBoost,F1_Rubber,0.6557377049180328
E1_XGBoost,F1_Water,0.95
E1_SVM,OA,0.8509874326750448
E1_SVM,balanced_accuracy,0.8261569354340439
E1_SVM,macro_F1,0.8306507948017251
E1_SVM,weighted_F1,0.8535163889598398
E1_SVM,F1_Built-up/Bare soil,0.9801980198019802
E1_SVM,F1_Durian,0.8081632653061225
E1_SVM,F1_Forest,0.6909090909090909
E1_SVM,F1_Other agriculture,0.7126436781609196
E1_SVM,F1_Oil palm,0.9166666666666666
E1_SVM,F1_Rubber,0.75
E1_SVM,F1_Water,0.9559748427672956
E2_fixed_S2_R1,OA,0.8545780969479354
E2_fixed_S2_R1,balanced_accuracy,0.8483189902467012
E2_fixed_S2_R1,macro_F1,0.8315074621606634
E2_fixed_S2_R1,weighted_F1,0.8573350433957183
E2_fixed_S2_R1,F1_Built-up/Bare soil,0.9651741293532338
E2_fixed_S2_R1,F1_Durian,0.8617886178861788
E2_fixed_S2_R1,F1_Forest,0.8176100628930817
E2_fixed_S2_R1,F1_Other agriculture,0.7272727272727273
E2_fixed_S2_R1,F1_Oil palm,0.8255813953488371
E2_fixed_S2_R1,F1_Rubber,0.6923076923076924
E2_fixed_S2_R1,F1_Water,0.930817610062893
E3_frozen_Bentong_to_Pahang,OA,0.7039877300613497
E3_frozen_Bentong_to_Pahang,balanced_accuracy,0.7046642061106559
E3_frozen_Bentong_to_Pahang,macro_F1,0.7037564048022223
E3_frozen_Bentong_to_Pahang,weighted_F1,0.7043057111982813
E3_frozen_Bentong_to_Pahang,F1_Built-up/Bare soil,0.8571428571428572
E3_frozen_Bentong_to_Pahang,F1_Durian,0.7168141592920354
E3_frozen_Bentong_to_Pahang,F1_Forest,0.6846846846846848
E3_frozen_Bentong_to_Pahang,F1_Other agriculture,0.6341463414634146
E3_frozen_Bentong_to_Pahang,F1_Oil palm,0.7314285714285714
E3_frozen_Bentong_to_Pahang,F1_Rubber,0.3814432989690722
E3_frozen_Bentong_to_Pahang,F1_Water,0.9206349206349206
E5_Pahang_grouped,OA,0.8358895705521472
E5_Pahang_grouped,balanced_accuracy,0.8411014676959414
E5_Pahang_grouped,macro_F1,0.8394393766591175
E5_Pahang_grouped,weighted_F1,0.8376052941267117
E5_Pahang_grouped,F1_Built-up/Bare soil,0.8994082840236686
E5_Pahang_grouped,F1_Durian,0.7783251231527094
E5_Pahang_grouped,F1_Forest,0.7960199004975125
E5_Pahang_grouped,F1_Other agriculture,0.828125
E5_Pahang_grouped,F1_Oil palm,0.8601036269430051
E5_Pahang_grouped,F1_Rubber,0.7678571428571428
E5_Pahang_grouped,F1_Water,0.9462365591397849
